reference_number,gazetted_name,alias_local_name,waterbody_type,waterbody_id_identifier,watershed_code_45_digit,twc_number,reach_number,site_number,survey_date,utm_method,utm_zone,utm_easting,utm_northing,no_visible_channel,dewatered_dry_int_channel
1,Tributary to Parsnip River,6745_ds,stream,00000PARS,,,,1,44787,GPS general,10,533990,6076164,visible channel,
2,Tributary to Parsnip River,6745_us,stream,00000PARS,,,,2,44787,GPS general,10,533990,6076164,visible channel,
3,Fern Creek,125261_ds,stream,00000PARS,,,,3,44788,GPS general,10,534600,6067770,visible channel,
4,Fern Creek,125261_us,stream,00000PARS,,,,4,44788,GPS general,10,534600,6067770,visible channel,
5,Tributary to Missinka River,125194_ds,stream,00000PARS,,,,5,44790,GPS general,10,563291,6050573,visible channel,
6,Tributary to Missinka River,125194_us,stream,00000PARS,,,,6,44790,GPS general,10,563291,6050573,visible channel,
7,Tributary to Parsnip River,125000_us_ef1,stream,00000PARS,,,,7,44791,GPS general,10,577519,6038243,visible channel,
8,Tributary to Parsnip River,125000_us_ef2,stream,00000PARS,,,,8,44791,GPS general,10,577520,6038235,visible channel,
9,Tributary to Parsnip River,125000_us_ef3,stream,00000PARS,,,,9,44791,GPS general,10,577519,6038234,visible channel,
10,Tributary to Parsnip River,125000_ds_ef1,stream,00000PARS,,,,10,44791,GPS general,10,577446,6038266,visible channel,
11,Tributary to Parsnip River,125000_ds_ef2,stream,00000PARS,,,,11,44791,GPS general,10,577454,6038241,visible channel,
12,Tributary to Parsnip River,125000_ds_ef3,stream,00000PARS,,,,12,44791,GPS general,10,577461,6038238,visible channel,
13,Tributary to Parsnip River,125180_us_ef1,stream,00000PARS,,,,13,44789,GPS general,10,569664,6053049,visible channel,
