reference_number,local_name,site,temperature_c,conductivity_m_s_cm,turbidity,sampling_method,method_number,haul_number_pass_number,ef_seconds,ef_length_m,ef_width_m,enclosure,voltage,frequency,pulse,make,model,species,stage,fish_activity,total_number,min,max,comments
7,125000_us_ef1,125000,13.1,49,clear,electrofishing,1,1,167,8,2,Open,450,60,,other,halltech HT2000,Rainbow Trout,fry,,2,36,38,
7,125000_us_ef1,125000,13.1,49,clear,electrofishing,1,1,167,8,2,Open,450,60,,other,halltech HT2000,Rainbow Trout,parr,,1,82,82,
7,125000_us_ef1,125000,13.1,49,clear,electrofishing,1,1,167,8,2,Open,450,60,,other,halltech HT2000,Rainbow Trout,adult,,1,148,148,
8,125000_us_ef2,125000,13.1,49,clear,electrofishing,1,1,283,23,3.27,Open,450,60,,other,halltech HT2000,Sculpin (General),,,1,78,78,Not salmonids so no life stage specified.
8,125000_us_ef2,125000,13.1,49,clear,electrofishing,1,1,283,23,3.27,Open,450,60,,other,halltech HT2000,Rainbow Trout,fry,,2,40,43,
8,125000_us_ef2,125000,13.1,49,clear,electrofishing,1,1,283,23,3.27,Open,450,60,,other,halltech HT2000,Rainbow Trout,parr,,1,80,80,
8,125000_us_ef2,125000,13.1,49,clear,electrofishing,1,1,283,23,3.27,Open,450,60,,other,halltech HT2000,Rainbow Trout,juvenile,,5,112,135,
9,125000_us_ef3,125000,13.1,49,clear,electrofishing,1,1,472,21,2.9,Open,450,60,,other,halltech HT2000,Sculpin (General),,,1,48,48,Not salmonids so no life stage specified.
9,125000_us_ef3,125000,13.1,49,clear,electrofishing,1,1,472,21,2.9,Open,450,60,,other,halltech HT2000,Rainbow Trout,fry,,1,39,39,
9,125000_us_ef3,125000,13.1,49,clear,electrofishing,1,1,472,21,2.9,Open,450,60,,other,halltech HT2000,Rainbow Trout,parr,,2,89,91,
9,125000_us_ef3,125000,13.1,49,clear,electrofishing,1,1,472,21,2.9,Open,450,60,,other,halltech HT2000,Rainbow Trout,juvenile,,2,102,109,
10,125000_ds_ef1,125000,13.1,49,clear,electrofishing,1,1,264,28,3.2,Open,450,60,,other,halltech HT2000,Sculpin (General),,,4,45,68,Not salmonids so no life stage specified.
10,125000_ds_ef1,125000,13.1,49,clear,electrofishing,1,1,264,28,3.2,Open,450,60,,other,halltech HT2000,Rainbow Trout,fry,,20,33,49,
10,125000_ds_ef1,125000,13.1,49,clear,electrofishing,1,1,264,28,3.2,Open,450,60,,other,halltech HT2000,Rainbow Trout,parr,,10,72,99,
10,125000_ds_ef1,125000,13.1,49,clear,electrofishing,1,1,264,28,3.2,Open,450,60,,other,halltech HT2000,Rainbow Trout,juvenile,,6,101,130,
11,125000_ds_ef2,125000,13.1,49,clear,electrofishing,1,1,131,7,3.04,Open,350,60,,other,halltech HT2000,Sculpin (General),,,2,46,60,Not salmonids so no life stage specified.
11,125000_ds_ef2,125000,13.1,49,clear,electrofishing,1,1,131,7,3.04,Open,350,60,,other,halltech HT2000,Rainbow Trout,fry,,3,37,41,
11,125000_ds_ef2,125000,13.1,49,clear,electrofishing,1,1,131,7,3.04,Open,350,60,,other,halltech HT2000,Rainbow Trout,parr,,5,81,98,
12,125000_ds_ef3,125000,13.1,49,clear,electrofishing,1,1,110,5,2.88,Open,350,60,,other,halltech HT2000,Rainbow Trout,fry,,1,39,39,
12,125000_ds_ef3,125000,13.1,49,clear,electrofishing,1,1,110,5,2.88,Open,350,60,,other,halltech HT2000,Rainbow Trout,parr,,5,84,98,
12,125000_ds_ef3,125000,13.1,49,clear,electrofishing,1,1,110,5,2.88,Open,350,60,,other,halltech HT2000,Rainbow Trout,juvenile,,3,109,129,
13,125180_us_ef1,125180,11.5,44,clear,electrofishing,1,1,72,3,2.2,Open,450,60,,other,halltech HT2000,Rainbow Trout,parr,,1,79,79,
13,125180_us_ef1,125180,11.5,44,clear,electrofishing,1,1,72,3,2.2,Open,450,60,,other,halltech HT2000,Rainbow Trout,juvenile,,1,109,109,
Total,-,-,298.09999999999997,1117,-,-,23,23,5444,354,65.64,-,9750,1380,-,-,-,-,-,-,80,1689,1890,-
