rowid,pscis_crossing_id,my_crossing_reference,road_tenure,transport_line_structured_name_1,my_road_tenure
5,125194,,,Chuchinka-Missinka FSR, Resource Demographic
5,125194,,,Chuchinka-Crocker FSR, Resource Demographic
5,125194,,,Chuchinka-Table FSR, Resource Demographic
6,6745,,,Chuchinka-Missinka FSR, Resource Demographic
6,6745,,,Chuchinka-Crocker FSR, Resource Demographic
6,6745,,,Chuchinka-Table FSR, Resource Demographic
7,125261,,,Chuchinka-Missinka FSR, Resource Demographic
7,125261,,,Chuchinka-Crocker FSR, Resource Demographic
7,125261,,,Chuchinka-Table FSR, Resource Demographic
